Incident Reporting Year,District Code,District Name,District Group,Incident Reference Number,Incident Date-time,Restoration Date-time,Voltage,Direct Cause,Direct Cause Category,Customer Affected,Incident Duration,Total Customer Minutes Lost,Primary Substation,Circuit,Circuit Name,Main_Equipment_Involved_1,Main_Equipment_Involved_2,Main_Equipment_Involved_3,Main_Equipment_Involved_4,Main_Equipment_Involved_5,Main_Equipment_Involved_6,Exceptional Event ID,Exceptional Event Start Date,Exceptional Event EndDate,Grid_ref,geom_wkt
2002,21,Bolton,3 Bolton,48,2002-12-17T17:36:00,2002-12-17T17:36:00,132,Fault on Equipment Faulting Adjacent Equipment,Companies,64384,30,1868293,200229,,,MISCELLANEOUS EQUIPMENT,,,,,,0,,,,
2006,21,Bolton,3 Bolton,44,2006-11-11T17:10:00,2006-11-11T17:10:00,132,Wind and Gale (excluding Windborne Material),Weather and Environment,62788,157,5535625,200229,,,OVERHEAD LINES,,,,,,0,,,,
2007,21,Bolton,3 Bolton,34,2007-10-31T19:29:00,2007-10-31T19:29:00,132,Faulty Installation or Construction by DNOC Staff,Companies,55349,71961,1529657,200229,,,POWER CABLES,Direct tiled,Oil Filled,3 Conductors,,,0,,,SD76320479,
2010,21,Bolton,3 Bolton,46,2010-10-27T22:36:00,2010-10-27T22:36:00,132,"Wilful Damage, Interference (not including Metal Theft)",Third Party,55100,924,1082728,200422,,,"POWER TRANSFORMERS, REACTORS ETC.",Transformer (excluding 4),,,,,0,,,SD58360459,POINT (358336.38 404625.03)
2011,21,Bolton,3 Bolton,38,2011-10-07T06:05:00,2011-10-07T06:05:00,132,Cause Unknown,Unclassified or Unknown,10738,3226,10738,200229,,,UNKNOWN,,,,,,0,,,SD80251115,
2012,21,Bolton,3 Bolton,26,2012-08-29T14:28:00,2012-08-29T14:28:00,132,Failure of 132KV infeed from Adjacent DNO,Generating Company or NGC,5938,1,5938,200420,,,NONE,,,,,,0,,,SJ65089298,POINT (365173.66 392990.1)
2012,21,Bolton,3 Bolton,26,2012-08-29T14:28:00,2012-08-29T14:28:00,132,Failure of EHV or HV infeed from Adjacent DNO,Generating Company or NGC,5938,1,5938,200420,,,NONE,,,,,,0,,,SJ65089298,POINT (365173.66 392990.1)
2012,21,Bolton,3 Bolton,38,2012-10-01T18:01:00,2012-10-01T18:01:00,132,Cause Unknown,Unclassified or Unknown,10516,1,10516,200229,,,UNKNOWN,,,,,,0,,,SD77590622,
2014,21,Bolton,3 Bolton,17,2014-06-30T14:42:00,2014-06-30T14:42:00,132,Failure of EHV or HV infeed from Adjacent DNO,Generating Company or NGC,5916,1,5916,200420,,,NONE,,,,,,0,,,SJ65159298,POINT (365173.66 392990.1)
2014,21,Bolton,3 Bolton,17,2014-06-30T14:42:00,2014-06-30T14:42:00,132,Failure of 132KV infeed from Adjacent DNO,Generating Company or NGC,5916,1,5916,200420,,,NONE,,,,,,0,,,SJ65159298,POINT (365173.66 392990.1)
2016,21,Bolton,3 Bolton,39,2016-09-13T18:14:00,2016-09-13T18:14:00,132,Lightning,Weather and Environment,74659,3991,74659,200229,,,OVERHEAD LINES,Heavy (csa greater than 175mm sq. Al. equivalent),Steel Tower: Double Circuit,,,,33,2016-07-19T10:13:00,2016-09-14T20:10:00,SD76270480,
2019,21,Bolton,3 Bolton,34,2019-09-15T09:26:00,2019-09-15T09:26:00,132,Failure of EHV or HV infeed from Adjacent DNO,Generating Company or NGC,5843,1,5843,200420,,,NONE,,,,,,0,,,SJ65089298,POINT (365173.66 392990.1)
2019,21,Bolton,3 Bolton,34,2019-09-15T09:26:00,2019-09-15T09:26:00,132,Failure of 132KV infeed from Adjacent DNO,Generating Company or NGC,5843,1,5843,200420,,,NONE,,,,,,0,,,SJ65089298,POINT (365173.66 392990.1)
2021,21,Bolton,3 Bolton,63,2021-12-16T14:29:00,2021-12-16T14:29:00,132,Failure of EHV or HV infeed from Adjacent DNO,Generating Company or NGC,35243,16,437280,200334,,,NONE,,,,,,0,,,SJ54259300,POINT (353953.3 393232.75)
2021,21,Bolton,3 Bolton,63,2021-12-16T14:29:00,2021-12-16T14:29:00,132,Failure of 132KV infeed from Adjacent DNO,Generating Company or NGC,35243,16,437280,200334,,,NONE,,,,,,0,,,SJ54259300,POINT (353953.3 393232.75)
